#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string,string,string,string,string
#group,false,false,true,true,false,false,true,true,true,true,true,true,true
#default,mean,,,,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,container_name,host,namespace,node_name,pod_name
,,0,2022-11-14T06:09:38Z,2022-11-14T06:14:38Z,2022-11-14T06:14:20Z,700829,cpu_usage_nanocores,kubernetes_pod_container,redis,sail-1,boutique,sail-2,redis-cart-79db5c758d-6rdsv
,,0,2022-11-14T06:09:38Z,2022-11-14T06:14:38Z,2022-11-14T06:14:30Z,714460,cpu_usage_nanocores,kubernetes_pod_container,redis,sail-1,boutique,sail-2,redis-cart-79db5c758d-6rdsv
,,0,2022-11-14T06:09:38Z,2022-11-14T06:14:38Z,2022-11-14T06:14:38Z,717381,cpu_usage_nanocores,kubernetes_pod_container,redis,sail-1,boutique,sail-2,redis-cart-79db5c758d-6rdsv
,,1,2022-11-14T06:09:38Z,2022-11-14T06:14:38Z,2022-11-14T06:09:50Z,7738268,cpu_usage_nanocores,kubernetes_pod_container,redis,sail-1,boutique,sail-4,redis-cart-79db5c758d-rtnpx
,,1,2022-11-14T06:09:38Z,2022-11-14T06:14:38Z,2022-11-14T06:10:00Z,7364033,cpu_usage_nanocores,kubernetes_pod_container,redis,sail-1,boutique,sail-4,redis-cart-79db5c758d-rtnpx
,,1,2022-11-14T06:09:38Z,2022-11-14T06:14:38Z,2022-11-14T06:10:10Z,7277499,cpu_usage_nanocores,kubernetes_pod_container,redis,sail-1,boutique,sail-4,redis-cart-79db5c758d-rtnpx
,,1,2022-11-14T06:09:38Z,2022-11-14T06:14:38Z,2022-11-14T06:10:20Z,7277499,cpu_usage_nanocores,kubernetes_pod_container,redis,sail-1,boutique,sail-4,redis-cart-79db5c758d-rtnpx
,,1,2022-11-14T06:09:38Z,2022-11-14T06:14:38Z,2022-11-14T06:10:30Z,7729258,cpu_usage_nanocores,kubernetes_pod_container,redis,sail-1,boutique,sail-4,redis-cart-79db5c758d-rtnpx
,,1,2022-11-14T06:09:38Z,2022-11-14T06:14:38Z,2022-11-14T06:10:40Z,7463830,cpu_usage_nanocores,kubernetes_pod_container,redis,sail-1,boutique,sail-4,redis-cart-79db5c758d-rtnpx
,,1,2022-11-14T06:09:38Z,2022-11-14T06:14:38Z,2022-11-14T06:10:50Z,7463830,cpu_usage_nanocores,kubernetes_pod_container,redis,sail-1,boutique,sail-4,redis-cart-79db5c758d-rtnpx
,,1,2022-11-14T06:09:38Z,2022-11-14T06:14:38Z,2022-11-14T06:11:00Z,7533746,cpu_usage_nanocores,kubernetes_pod_container,redis,sail-1,boutique,sail-4,redis-cart-79db5c758d-rtnpx
,,1,2022-11-14T06:09:38Z,2022-11-14T06:14:38Z,2022-11-14T06:11:10Z,7719404,cpu_usage_nanocores,kubernetes_pod_container,redis,sail-1,boutique,sail-4,redis-cart-79db5c758d-rtnpx
,,1,2022-11-14T06:09:38Z,2022-11-14T06:14:38Z,2022-11-14T06:11:20Z,7458931,cpu_usage_nanocores,kubernetes_pod_container,redis,sail-1,boutique,sail-4,redis-cart-79db5c758d-rtnpx
,,1,2022-11-14T06:09:38Z,2022-11-14T06:14:38Z,2022-11-14T06:11:30Z,7458931,cpu_usage_nanocores,kubernetes_pod_container,redis,sail-1,boutique,sail-4,redis-cart-79db5c758d-rtnpx
