#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string,string,string,string,string
#group,false,false,true,true,false,false,true,true,true,true,true,true,true
#default,mean,,,,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,container_name,host,namespace,node_name,pod_name
,,0,2022-10-01T06:00:00Z,2022-11-01T06:00:00Z,2022-10-27T08:00:00Z,4813981.189415041,cpu_usage_nanocores,kubernetes_pod_container,main,sail-1,boutique,sail-2,loadgenerator-c46f99f5f-sq5ph
,,0,2022-10-01T06:00:00Z,2022-11-01T06:00:00Z,2022-10-27T09:00:00Z,4564139.475,cpu_usage_nanocores,kubernetes_pod_container,main,sail-1,boutique,sail-2,loadgenerator-c46f99f5f-sq5ph
,,0,2022-10-01T06:00:00Z,2022-11-01T06:00:00Z,2022-10-27T10:00:00Z,4663131.247222222,cpu_usage_nanocores,kubernetes_pod_container,main,sail-1,boutique,sail-2,loadgenerator-c46f99f5f-sq5ph
,,0,2022-10-01T06:00:00Z,2022-11-01T06:00:00Z,2022-10-27T11:00:00Z,4668603.794444445,cpu_usage_nanocores,kubernetes_pod_container,main,sail-1,boutique,sail-2,loadgenerator-c46f99f5f-sq5ph
,,0,2022-10-01T06:00:00Z,2022-11-01T06:00:00Z,2022-10-27T12:00:00Z,4660613.397222222,cpu_usage_nanocores,kubernetes_pod_container,main,sail-1,boutique,sail-2,loadgenerator-c46f99f5f-sq5ph
,,0,2022-10-01T06:00:00Z,2022-11-01T06:00:00Z,2022-10-27T13:00:00Z,4780654.861111111,cpu_usage_nanocores,kubernetes_pod_container,main,sail-1,boutique,sail-2,loadgenerator-c46f99f5f-sq5ph
,,0,2022-10-01T06:00:00Z,2022-11-01T06:00:00Z,2022-10-27T14:00:00Z,4670074.8,cpu_usage_nanocores,kubernetes_pod_container,main,sail-1,boutique,sail-2,loadgenerator-c46f99f5f-sq5ph
,,0,2022-10-01T06:00:00Z,2022-11-01T06:00:00Z,2022-10-27T15:00:00Z,4591226.908333333,cpu_usage_nanocores,kubernetes_pod_container,main,sail-1,boutique,sail-2,loadgenerator-c46f99f5f-sq5ph
,,0,2022-10-01T06:00:00Z,2022-11-01T06:00:00Z,2022-10-27T16:00:00Z,4742916.811111111,cpu_usage_nanocores,kubernetes_pod_container,main,sail-1,boutique,sail-2,loadgenerator-c46f99f5f-sq5ph
,,0,2022-10-01T06:00:00Z,2022-11-01T06:00:00Z,2022-10-27T17:00:00Z,4710382.263888889,cpu_usage_nanocores,kubernetes_pod_container,main,sail-1,boutique,sail-2,loadgenerator-c46f99f5f-sq5ph
